# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 25 Feb 2026 03:01:13 +0100
#
# IP	number of (black)lists
#
91.224.92.78	11
91.224.92.190	10
103.218.241.106	10
185.91.69.217	10
2.57.121.25	9
2.57.122.238	9
45.148.10.141	9
45.148.10.147	9
45.148.10.151	9
45.148.10.152	9
45.148.10.157	9
45.249.244.185	9
47.252.35.152	9
61.245.11.87	9
66.132.153.133	9
80.94.92.171	9
80.94.95.115	9
80.94.95.116	9
91.224.92.54	9
91.224.92.108	9
92.118.39.56	9
92.118.39.76	9
101.36.104.242	9
103.40.61.98	9
154.81.14.244	9
162.142.125.207	9
185.156.73.233	9
195.178.110.15	9
217.154.69.208	9
2.57.121.112	8
3.131.220.121	8
18.218.118.203	8
20.59.121.110	8
45.249.245.88	8
66.132.153.117	8
66.132.153.129	8
71.6.199.23	8
82.165.66.87	8
85.8.182.98	8
91.202.233.33	8
92.118.39.95	8
93.174.95.106	8
94.102.49.193	8
103.252.73.37	8
128.241.229.30	8
129.212.184.16	8
134.65.30.157	8
162.142.125.204	8
162.142.125.214	8
167.94.146.55	8
176.120.22.47	8
193.32.162.145	8
199.45.155.80	8
210.207.108.131	8
213.209.159.158	8
213.209.159.159	8
1.55.112.41	7
2.57.122.210	7
2.59.22.234	7
3.130.168.2	7
14.116.156.100	7
24.65.233.27	7
36.255.223.167	7
37.120.213.13	7
43.159.36.92	7
43.252.231.122	7
45.81.23.49	7
45.91.64.7	7
45.175.37.18	7
49.64.169.153	7
54.38.190.246	7
58.222.244.226	7
62.193.106.227	7
64.89.160.82	7
64.225.34.186	7
66.132.153.112	7
66.132.153.114	7
66.132.153.116	7
66.132.153.119	7
66.132.153.123	7
66.132.153.132	7
66.132.153.134	7
66.132.153.139	7
66.132.153.141	7
66.240.236.116	7
66.240.236.119	7
71.6.135.131	7
71.6.158.166	7
71.6.165.200	7
77.83.39.95	7
77.83.39.128	7
80.82.77.33	7
80.82.77.139	7
80.94.92.182	7
80.94.92.184	7
80.94.92.186	7
80.253.31.232	7
82.18.179.96	7
82.24.64.32	7
83.168.68.72	7
83.168.105.145	7
85.217.140.10	7
86.54.31.38	7
86.54.31.42	7
87.228.27.214	7
88.147.30.59	7
89.185.81.112	7
92.118.39.72	7
92.118.39.92	7
95.167.225.76	7
101.36.118.177	7
101.36.123.102	7
103.48.192.48	7
103.239.252.132	7
104.152.52.230	7
104.152.52.231	7
104.152.52.235	7
109.105.210.64	7
109.105.210.77	7
115.140.161.61	7
121.52.147.5	7
125.17.108.32	7
128.14.237.130	7
138.2.0.137	7
143.64.168.136	7
144.79.133.252	7
147.185.132.129	7
147.185.132.162	7
150.138.115.76	7
151.80.61.151	7
152.32.162.42	7
157.66.26.151	7
160.174.129.232	7
161.132.37.26	7
162.142.125.32	7
162.142.125.35	7
162.142.125.39	7
162.142.125.113	7
162.142.125.114	7
162.142.125.115	7
162.142.125.117	7
162.142.125.119	7
162.142.125.122	7
162.142.125.203	7
162.142.125.208	7
162.142.125.210	7
162.142.125.212	7
162.142.125.218	7
162.216.149.116	7
162.216.150.188	7
163.7.1.156	7
165.154.227.162	7
165.227.144.12	7
167.94.146.49	7
167.94.146.50	7
167.94.146.53	7
167.94.146.54	7
167.94.146.60	7
167.94.146.61	7
171.220.244.134	7
171.244.37.96	7
176.120.22.13	7
185.107.80.93	7
185.231.113.54	7
187.45.100.0	7
189.217.130.86	7
190.167.237.191	7
193.24.211.202	7
197.221.232.44	7
197.227.8.186	7
199.45.155.94	7
203.110.233.225	7
206.168.34.32	7
206.168.34.40	7
206.168.34.45	7
206.168.34.47	7
206.168.34.63	7
206.168.34.121	7
206.168.34.208	7
206.168.34.213	7
209.38.28.149	7
210.172.173.61	7
210.211.122.97	7
213.55.85.204	7
216.180.246.32	7
216.180.246.110	7
216.180.246.180	7
218.145.181.48	7
220.85.41.216	7
221.156.126.1	7
222.107.156.227	7
223.197.186.7	7
1.55.33.86	6
1.92.79.150	6
1.238.106.229	6
1.246.14.175	6
3.129.187.38	6
3.132.26.232	6
5.39.250.38	6
5.253.59.74	6
8.215.41.147	6
12.156.67.18	6
14.29.198.130	6
14.29.240.154	6
14.34.157.138	6
14.51.236.211	6
14.63.196.175	6
14.103.37.34	6
14.103.55.226	6
14.103.74.80	6
14.103.84.166	6
14.103.92.40	6
14.103.95.175	6
14.103.102.130	6
14.103.105.243	6
14.103.107.26	6
14.103.112.1	6
14.103.112.5	6
14.103.112.55	6
14.103.113.212	6
14.103.114.199	6
14.103.115.143	6
14.103.115.156	6
14.103.116.87	6
14.103.117.73	6
14.103.117.91	6
14.103.117.145	6
14.103.118.198	6
14.103.120.70	6
14.103.122.187	6
14.103.123.73	6
14.103.123.87	6
14.103.123.166	6
14.103.127.32	6
14.103.127.58	6
14.103.127.66	6
14.103.127.80	6
14.103.151.131	6
14.103.155.71	6
14.103.178.182	6
14.103.192.171	6
14.103.201.200	6
14.103.233.27	6
14.103.235.143	6
14.116.146.214	6
14.116.184.171	6
14.116.189.74	6
16.58.56.214	6
18.116.101.220	6
20.14.90.84	6
20.55.4.75	6
20.55.42.210	6
20.64.105.155	6
20.65.194.60	6
20.65.194.84	6
20.65.194.167	6
20.102.108.84	6
20.121.46.95	6
20.168.107.40	6
20.169.81.226	6
20.169.105.72	6
20.169.105.85	6
24.23.221.102	6
24.84.30.89	6
24.144.124.91	6
27.111.32.174	6
31.59.89.180	6
34.78.29.97	6
34.85.163.94	6
34.142.110.144	6
34.175.118.185	6
35.203.210.6	6
35.203.210.25	6
35.203.210.59	6
35.203.210.60	6
35.203.210.64	6
35.203.210.90	6
35.203.210.112	6
35.203.210.114	6
35.203.210.149	6
35.203.210.173	6
35.203.210.216	6
35.203.210.223	6
35.203.210.240	6
35.203.211.17	6
35.203.211.32	6
35.203.211.111	6
35.203.211.118	6
35.203.211.123	6
35.203.211.133	6
35.203.211.148	6
35.203.211.177	6
35.203.211.194	6
35.203.211.198	6
35.203.211.233	6
35.203.211.254	6
35.222.117.243	6
35.237.94.18	6
35.240.174.82	6
36.64.68.99	6
36.66.16.233	6
36.91.166.34	6
36.104.144.114	6
36.104.145.245	6
36.110.172.218	6
36.133.64.211	6
36.134.96.76	6
36.139.226.237	6
36.212.227.224	6
36.255.3.203	6
36.255.223.75	6
37.187.244.59	6
37.211.162.23	6
38.123.103.209	6
38.224.73.139	6
38.253.239.21	6
39.109.104.252	6
40.124.172.146	6
41.59.86.232	6
41.223.40.78	6
41.242.115.83	6
42.51.41.252	6
42.81.4.42	6
42.115.115.61	6
42.192.106.149	6
42.200.66.164	6
43.133.148.170	6
43.138.40.107	6
43.155.40.91	6
43.156.71.43	6
43.160.207.2	6
45.43.37.254	6
45.66.228.255	6
45.78.202.217	6
45.82.78.103	6
