# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 21 Jun 2026 03:01:22 +0200
#
# IP	number of (black)lists
#
193.46.255.86	10
118.26.111.107	9
167.94.146.62	9
213.209.159.56	9
14.55.31.113	8
14.103.10.167	8
45.148.10.121	8
80.82.77.33	8
80.82.77.139	8
80.94.92.178	8
89.248.167.131	8
93.174.95.106	8
95.47.246.223	8
109.100.14.222	8
111.26.6.111	8
121.178.185.141	8
141.98.83.240	8
143.20.49.38	8
167.94.146.53	8
167.94.146.54	8
167.94.146.56	8
167.94.146.61	8
220.80.223.144	8
1.212.225.99	7
2.57.121.25	7
2.57.122.238	7
2.59.183.60	7
13.89.125.27	7
14.63.217.28	7
18.218.118.203	7
41.63.63.211	7
45.148.10.147	7
45.148.10.152	7
45.172.152.74	7
45.227.254.170	7
51.158.120.121	7
59.12.160.91	7
60.199.224.2	7
64.226.126.224	7
65.49.139.223	7
66.132.172.129	7
66.132.172.133	7
66.132.172.140	7
66.132.172.143	7
66.132.172.196	7
66.132.172.201	7
66.132.172.208	7
66.132.172.216	7
66.132.186.168	7
66.132.186.174	7
66.132.195.31	7
66.132.195.56	7
66.132.195.123	7
66.132.224.81	7
71.6.135.131	7
71.6.199.23	7
80.225.238.77	7
80.253.31.232	7
81.30.98.144	7
81.211.72.167	7
85.217.140.8	7
85.217.140.51	7
86.54.31.38	7
91.224.92.17	7
92.4.76.12	7
94.183.234.128	7
95.188.91.101	7
102.88.137.80	7
115.190.113.87	7
119.160.166.237	7
121.159.71.249	7
121.185.89.74	7
122.168.194.41	7
123.253.162.254	7
124.123.125.62	7
125.20.210.182	7
136.232.11.10	7
138.197.39.208	7
141.98.199.231	7
144.2.91.96	7
152.32.174.171	7
160.187.174.22	7
161.49.89.39	7
164.92.161.148	7
165.154.163.10	7
167.94.146.48	7
167.94.146.49	7
167.94.146.50	7
167.94.146.51	7
167.94.146.58	7
167.94.146.59	7
167.94.146.60	7
176.65.139.254	7
182.93.50.90	7
185.226.197.67	7
185.227.153.56	7
195.54.179.244	7
196.216.81.126	7
197.221.232.44	7
198.11.178.150	7
199.45.155.68	7
199.45.155.95	7
199.45.155.99	7
199.45.155.107	7
201.76.120.30	7
218.145.181.48	7
220.247.224.226	7
222.102.21.104	7
223.85.251.55	7
1.214.214.114	6
2.26.51.2	6
2.26.64.64	6
2.27.20.149	6
2.57.121.112	6
2.57.217.229	6
3.129.187.38	6
3.130.168.2	6
3.131.220.121	6
3.132.26.232	6
3.134.216.108	6
3.143.162.210	6
4.227.180.232	6
5.11.162.163	6
5.61.209.43	6
5.182.26.69	6
5.196.106.17	6
8.134.159.4	6
14.22.79.82	6
14.29.198.130	6
14.29.214.161	6
14.29.240.154	6
14.63.196.175	6
14.102.230.4	6
14.103.63.16	6
14.103.115.208	6
14.103.119.118	6
14.103.127.7	6
14.103.213.90	6
14.116.189.74	6
16.58.56.214	6
20.15.224.64	6
20.31.232.59	6
20.64.105.81	6
20.65.193.108	6
20.65.194.123	6
20.65.195.16	6
20.83.150.79	6
20.168.8.243	6
20.171.8.42	6
20.221.58.154	6
24.97.253.246	6
31.76.27.231	6
31.132.90.3	6
31.145.131.202	6
34.40.145.110	6
34.78.29.97	6
34.79.151.177	6
34.79.243.69	6
34.100.248.63	6
34.135.200.178	6
34.142.110.144	6
34.156.222.140	6
34.175.118.185	6
35.203.210.63	6
35.203.211.184	6
36.64.68.99	6
36.64.131.68	6
36.66.16.233	6
36.103.222.120	6
36.255.220.145	6
39.105.205.153	6
39.115.195.164	6
40.76.248.118	6
40.83.182.122	6
41.82.50.218	6
41.93.28.23	6
41.111.178.165	6
41.204.82.238	6
41.220.3.101	6
42.96.19.37	6
42.200.66.164	6
43.129.193.109	6
43.132.227.251	6
43.134.96.24	6
43.135.49.67	6
43.136.110.113	6
43.153.12.68	6
43.155.72.127	6
43.155.134.4	6
43.156.12.237	6
43.156.238.228	6
43.164.193.198	6
43.164.194.87	6
43.165.3.187	6
43.165.185.71	6
43.166.245.172	6
45.33.12.122	6
45.43.60.220	6
45.58.52.25	6
45.78.198.199	6
45.79.115.59	6
45.81.243.62	6
45.91.64.6	6
45.117.177.47	6
45.119.81.245	6
45.133.251.253	6
45.142.154.102	6
45.142.154.105	6
45.142.154.108	6
45.142.154.111	6
45.148.10.141	6
45.148.10.151	6
45.148.10.157	6
45.148.10.183	6
45.156.87.253	6
45.156.128.61	6
45.156.128.71	6
45.156.129.65	6
45.156.129.75	6
45.156.129.93	6
45.164.39.253	6
45.164.251.106	6
45.165.14.197	6
45.165.238.2	6
45.178.227.0	6
45.187.108.43	6
45.197.12.65	6
45.198.224.5	6
45.229.91.34	6
45.232.73.84	6
45.249.247.165	6
46.101.107.202	6
